step,reward
21,0.0
43,0.0
93,1.0
115,0.0
183,1.0
205,0.0
255,1.0
277,0.0
299,0.0
321,0.0
343,0.0
365,0.0
387,0.0
409,0.0
431,0.0
453,0.0
475,0.0
497,0.0
519,0.0
541,0.0
563,0.0
613,1.0
710,2.0
732,0.0
754,0.0
776,0.0
798,0.0
820,0.0
842,0.0
864,0.0
886,0.0
908,0.0
930,0.0
952,0.0
974,0.0
996,0.0
1018,0.0
1040,0.0
1062,0.0
1084,0.0
1106,0.0
1128,0.0
1150,0.0
1172,0.0
1194,0.0
1216,0.0
1238,0.0
1260,0.0
1282,0.0
1304,0.0
1326,0.0
1394,1.0
1416,0.0
1438,0.0
1508,1.0
1530,0.0
1552,0.0
1574,0.0
1596,0.0
1618,0.0
1640,0.0
1662,0.0
1684,0.0
1706,0.0
1728,0.0
1798,1.0
1820,0.0
1842,0.0
1939,2.0
1961,0.0
1983,0.0
2005,0.0
2027,0.0
2049,0.0
2071,0.0
2093,0.0
2115,0.0
2137,0.0
2159,0.0
2181,0.0
2203,0.0
2225,0.0
2247,0.0
2269,0.0
2291,0.0
2411,2.0
2433,0.0
2455,0.0
2477,0.0
2499,0.0
2521,0.0
2589,1.0
2611,0.0
2633,0.0
2655,0.0
2677,0.0
2699,0.0
2721,0.0
2867,3.0
2889,0.0
2957,1.0
2979,0.0
3001,0.0
3023,0.0
3045,0.0
3067,0.0
3089,0.0
3111,0.0
3133,0.0
3183,1.0
3205,0.0
3227,0.0
3249,0.0
3271,0.0
3442,4.0
3464,0.0
3486,0.0
3555,1.0
3577,0.0
3599,0.0
3621,0.0
3643,0.0
3740,2.0
3762,0.0
3784,0.0
3834,1.0
3903,1.0
3925,0.0
3947,0.0
3969,0.0
3991,0.0
4041,1.0
4109,1.0
4131,0.0
4228,2.0
4250,0.0
4272,0.0
4294,0.0
4316,0.0
4338,0.0
4360,0.0
4382,0.0
4404,0.0
4426,0.0
4544,2.0
4566,0.0
4588,0.0
4656,1.0
4678,0.0
4746,1.0
4815,1.0
4837,0.0
4859,0.0
4881,0.0
4978,2.0
5000,0.0
5022,0.0
5044,0.0
5066,0.0
5088,0.0
5110,0.0
5132,0.0
5200,1.0
5222,0.0
5274,1.0
5296,0.0
5318,0.0
5340,0.0
5362,0.0
5430,1.0
5452,0.0
5474,0.0
5496,0.0
5546,1.0
5568,0.0
5590,0.0
5612,0.0
5634,0.0
5656,0.0
5724,1.0
5746,0.0
5768,0.0
5790,0.0
5887,2.0
5909,0.0
5931,0.0
5953,0.0
5975,0.0
5997,0.0
6115,2.0
6137,0.0
6159,0.0
6227,1.0
6249,0.0
6320,1.0
6342,0.0
6364,0.0
6386,0.0
6408,0.0
6476,1.0
6498,0.0
6520,0.0
6542,0.0
6593,1.0
6615,0.0
6637,0.0
6659,0.0
6681,0.0
6703,0.0
6725,0.0
6793,1.0
6815,0.0
6837,0.0
6934,2.0
6984,1.0
7006,0.0
7028,0.0
7050,0.0
7100,1.0
7122,0.0
7190,1.0
7212,0.0
7234,0.0
7331,2.0
7353,0.0
7375,0.0
7397,0.0
7419,0.0
7441,0.0
7463,0.0
7485,0.0
7507,0.0
7529,0.0
7551,0.0
7573,0.0
7595,0.0
7617,0.0
7736,2.0
7758,0.0
7780,0.0
7802,0.0
7899,2.0
7921,0.0
7943,0.0
7965,0.0
7987,0.0
8055,1.0
8077,0.0
8099,0.0
8121,0.0
8189,1.0
8211,0.0
8308,2.0
8330,0.0
8352,0.0
8374,0.0
8442,1.0
8464,0.0
8486,0.0
8508,0.0
8530,0.0
8552,0.0
8574,0.0
8596,0.0
8618,0.0
8640,0.0
8662,0.0
8684,0.0
8734,1.0
8756,0.0
8778,0.0
8800,0.0
8822,0.0
8872,1.0
8940,1.0
9008,1.0
9078,1.0
9100,0.0
9123,0.0
9145,0.0
9167,0.0
9189,0.0
9211,0.0
9233,0.0
9255,0.0
9352,2.0
9374,0.0
9445,1.0
9467,0.0
9489,0.0
9511,0.0
9608,2.0
9630,0.0
9652,0.0
9674,0.0
9724,1.0
9746,0.0
9768,0.0
9865,2.0
9887,0.0
9909,0.0
9931,0.0
10028,2.0
10050,0.0
10072,0.0
10094,0.0
10144,1.0
10166,0.0
10188,0.0
10210,0.0
10232,0.0
10302,1.0
10324,0.0
10421,2.0
10443,0.0
10465,0.0
10487,0.0
10537,1.0
10605,1.0
10627,0.0
10649,0.0
10671,0.0
10693,0.0
10715,0.0
10737,0.0
10759,0.0
10781,0.0
